,lemma,pos,absolute_freq_tar,freq_book3,freq_book4,freq_book5,freq_book6,absolute_freq_ref,deltapi,relative_freq_tar,relative_freq_ref,p_value_fisher
0,ab,PRE,1138,268,258,239,373,2297,0.02220431588241445,2.850487187836585,0.6300555995951406,< 0.05
1,oppidum,NOMcom,558,122,119,162,155,81,0.01375472659860288,1.3976905543170604,0.02221789445677248,< 0.05
2,qui1,PROrel,865,191,163,213,298,6049,0.005074604269373312,2.1666708413696365,1.6592104144323054,< 0.05
3,mare,NOMcom,243,60,46,53,84,386,0.005027938255977562,0.6086716930090423,0.10587786741128614,< 0.05
4,amnis,NOMcom,210,64,45,45,56,117,0.004939200599900073,0.5260125742053453,0.03209251421533803,< 0.05
5,mons,NOMcom,214,30,45,58,81,184,0.0048556158256706445,0.5360318613330661,0.050470278766001686,< 0.05
6,flumen,NOMcom,194,51,24,48,71,82,0.0046344323624439585,0.4859354256944618,0.02249218945006597,< 0.05
7,pes,NOMcom,224,47,37,45,95,417,0.004466990669489841,0.5610800791523683,0.11438101220338426,< 0.05
8,gens,NOMcom,175,15,29,31,100,217,0.00378821798293101,0.43834381183778776,0.05952201354468677,< 0.05
9,promontorium,NOMcom,152,33,47,42,30,16,0.00376344190960697,0.3807329108533928,0.0043887198926957985,< 0.05
10,insula,NOMcom,163,22,33,28,80,178,0.003594614416483844,0.4082859504546251,0.04882450880624076,< 0.05
11,sinus,NOMcom,148,25,57,32,34,59,0.0035453021912135617,0.3707136237256719,0.016183404604315756,< 0.05
12,ad2,PRE,378,53,70,82,173,2183,0.0034803666320993853,0.9468226335696215,0.598785970359683,< 0.05
13,appello1,VER,201,42,59,59,41,682,0.003163999927418149,0.5034691781679733,0.1870691854261584,< 0.05
14,deinde,ADV,149,26,29,44,50,288,0.002942214874390778,0.37321844550760214,0.07899695806852437,< 0.05
15,colonia,NOMcom,108,60,20,25,3,4,0.0026942357247528937,0.2705207524484633,0.0010971799731739496,< 0.05
16,nomen,NOMcom,158,30,35,46,47,515,0.0025449991999882808,0.3957618415449741,0.14126192154614603,< 0.05
17,dico2,VER,243,56,57,55,75,1334,0.0024276217195553017,0.6086716930090423,0.3659095210535122,< 0.05
18,regio,NOMcom,100,32,15,24,29,77,0.0022936146370942305,0.2504821781930216,0.02112071448359853,< 0.05
19,inde,ADV,109,18,18,29,44,161,0.00228864080310142,0.2730255742303935,0.044161493920251475,< 0.05
20,portus,NOMcom,89,27,24,14,24,32,0.0021415169880639757,0.22292913859178917,0.008777439785391597,< 0.05
21,ibi,ADV,97,14,21,25,37,216,0.0018371999429583762,0.2429677128472309,0.059247718551393276,< 0.05
22,latitudo,NOMcom,76,18,23,12,23,67,0.0017198869087603273,0.1903664554266964,0.01837776455066366,< 0.05
23,absum1,VER,74,13,21,18,22,49,0.0017191635719145508,0.18535681186283595,0.013440454671380882,< 0.05
24,litus,NOMcom,76,15,18,18,25,77,0.0016924574094309786,0.1903664554266964,0.02112071448359853,< 0.05
25,longitudo,NOMcom,77,13,28,13,23,94,0.0016708754783903877,0.1928712772086266,0.025783729369587817,< 0.05
26,quondam,ADV,70,18,16,26,10,32,0.001665600849497235,0.1753375247351151,0.008777439785391597,< 0.05
27,urbs,NOMcom,85,25,15,23,22,194,0.0015969662276513175,0.21290985146406832,0.053213228698936556,< 0.05
28,mox,ADV,86,18,20,24,24,210,0.001578127246543662,0.21541467324599856,0.057601948591632354,< 0.05
29,nunc,ADV,90,24,14,30,22,276,0.0014972854222471688,0.2254339603737194,0.07570541814900252,< 0.05
30,cognomino,VER,63,25,17,12,9,51,0.0014381472760363573,0.15780377226160358,0.013989044657967858,< 0.05
31,ora,NOMcom,57,20,10,13,14,6,0.0014112907161026136,0.1427748415700223,0.0016457699597609246,< 0.05
32,ostium,NOMcom,57,13,20,10,14,7,0.0014085477661696787,0.1427748415700223,0.0019200649530544118,< 0.05
33,fluuius,NOMcom,58,29,5,12,12,18,0.0014034235347266974,0.14527966335195253,0.004937309879282773,< 0.05
34,os1,NOMcom,85,18,25,21,21,271,0.0013857590828153324,0.21290985146406832,0.07433394318253508,< 0.05
35,inter,PRE,120,23,33,28,36,616,0.0013161289796283764,0.3005786138316259,0.16896571586878825,< 0.05
36,prodo,VER,70,8,15,12,35,169,0.0012898167086851573,0.1753375247351151,0.04635585386659937,< 0.05
37,lacus,NOMcom,59,14,12,15,18,70,0.001285838356033386,0.14778448513388273,0.01920064953054412,< 0.05
38,circuitus,NOMcom,53,11,23,11,8,16,0.0012836683454960562,0.13275555444230142,0.0043887198926957985,< 0.05
39,duo,ADJcar,97,21,22,28,26,421,0.001274895206706727,0.2429677128472309,0.11547819217655819,< 0.05
40,per,PRE,128,26,20,21,61,705,0.0012723921781515898,0.32061718808706763,0.19337797027190864,< 0.05
41,orior,VER,58,14,9,14,21,72,0.0012553042383482143,0.14527966335195253,0.019749239517131093,< 0.05
42,ciuitas,NOMcom,53,19,11,20,3,28,0.0012507529463008378,0.13275555444230142,0.007680259812217647,< 0.05
43,usque,ADV,64,8,12,13,31,130,0.0012465024491538045,0.16030859404353381,0.03565834912815336,< 0.05
44,condo,VER,69,18,2,19,30,203,0.0011715081931460694,0.17283270295318487,0.05568188363857795,< 0.05
45,intus1,ADV,63,19,12,26,6,155,0.0011528804830111304,0.15780377226160358,0.042515723960490547,< 0.05
46,cognomen,NOMcom,51,32,8,8,3,63,0.001104653263009513,0.127745910878441,0.017280584577489707,< 0.05
47,ubi1,ADVrel,54,10,9,19,16,92,0.0011002523684123082,0.13526037622423165,0.025235139383000843,< 0.05
48,finis,NOMcom,48,17,4,14,13,46,0.0010761387584114993,0.12023144553265036,0.012617569691500422,< 0.05
49,passus1,NOMcom,50,6,28,10,6,69,0.0010631473455926016,0.1252410890965108,0.01892635453725063,< 0.05
50,iungo,VER,49,10,6,17,16,61,0.0010600427272367784,0.12273626731458057,0.016731994590902733,< 0.05
51,50,ADJcar,45,6,14,7,18,25,0.0010585960535452253,0.1127169801868597,0.006857374832337185,< 0.05
52,antea,ADV,44,9,21,11,3,29,0.0010225760359941836,0.1102121584049295,0.007954554805511136,< 0.05
53,fons,NOMcom,52,10,13,17,12,112,0.0009952969341150064,0.1302507326603712,0.03072103924887059,< 0.05
54,500,ADJcar,42,0,14,14,14,24,0.0009861943500202536,0.10520251484106904,0.006583079839043699,< 0.05
55,15,ADJcar,45,6,15,12,12,55,0.000976307555557179,0.1127169801868597,0.015086224631141808,< 0.05
56,liber2,ADJqua,39,1,15,20,3,3,0.0009686516451539795,0.09768804949527841,0.0008228849798804623,< 0.05
57,rex,NOMcom,72,6,9,12,45,309,0.0009559001537128792,0.18034716829897554,0.08475715292768761,< 0.05
58,Europa,NOMpro,40,9,20,3,8,19,0.0009498126640463235,0.10019287127720862,0.005211604872576261,< 0.05
59,populus1,NOMcom,55,23,7,6,19,157,0.0009470088405908433,0.13776519800616185,0.04306431394707752,< 0.05
60,ultra2,PRE,41,4,6,12,19,34,0.0009337166328716027,0.10269769305913884,0.009326029771978573,< 0.05
61,stadium,NOMcom,40,6,6,12,16,33,0.0009114113649852353,0.10019287127720862,0.009051734778685084,< 0.05
62,pateo,VER,38,11,15,3,9,21,0.0008942303285418496,0.0951832277133482,0.005760194859163235,< 0.05
63,clarus,ADJqua,46,6,13,10,17,96,0.0008888948261261513,0.11522180196878994,0.026332319356174794,< 0.05
64,iuxta2,PRE,46,12,7,12,15,101,0.000875180076461477,0.11522180196878994,0.027703794322642233,< 0.05
65,unde1,ADVrel,48,9,11,13,15,122,0.000867674563508449,0.12023144553265036,0.033463989181805466,< 0.05
66,latus1,NOMcom,49,12,9,12,16,135,0.0008570644321995977,0.12273626731458057,0.0370298240946208,< 0.05
67,Asia,NOMpro,43,2,13,14,14,83,0.0008494085217963981,0.10770733662299928,0.022766484443359457,< 0.05
68,pars,NOMcom,111,19,21,23,48,707,0.0008410865753575834,0.27803521779425394,0.1939265602584956,< 0.05
69,oceanus1,NOMcom,40,10,11,6,13,60,0.0008373517167959937,0.10019287127720862,0.016457699597609246,< 0.05
70,Alexander,NOMpro,44,3,1,8,32,99,0.0008305695406887424,0.1102121584049295,0.027155204336055255,< 0.05
71,meridies,NOMcom,38,5,6,8,19,48,0.000820170680352608,0.0951832277133482,0.013166159678087397,< 0.05
72,Africa,NOMpro,47,8,1,25,13,133,0.0008124538964268632,0.11772662375072014,0.036481234108033826,< 0.05
73,uoco,VER,175,30,33,55,57,1302,0.0008121173056966718,0.43834381183778776,0.35713208126812057,< 0.05
74,septentrio,NOMcom,39,4,9,6,20,62,0.000806817599110822,0.09768804949527841,0.01700628958419622,< 0.05
75,tractus,NOMcom,36,5,4,10,17,37,0.0008002466939762874,0.09017358414948777,0.010148914751859034,< 0.05
76,12,ADJcar,39,9,4,11,15,70,0.0007848739996473429,0.09768804949527841,0.01920064953054412,< 0.05
77,Euphrates,NOMpro,32,0,0,10,22,12,0.0007686275710224506,0.08015429702176691,0.0032915399195218493,< 0.05
78,propior,ADJqua,56,10,8,19,19,235,0.0007581069636412254,0.1402700197880921,0.06445932342396954,< 0.05
79,locus,NOMcom,82,17,20,18,27,480,0.0007373378933740373,0.20539538611827768,0.13166159678087397,< 0.05
80,Agrippa,NOMpro,32,8,11,4,9,25,0.0007329692218942972,0.08015429702176691,0.006857374832337185,< 0.05
81,iugum,NOMcom,35,7,8,4,16,54,0.0007285683272970923,0.08766876236755755,0.014811929637848319,< 0.05
82,disto,VER,37,6,4,13,14,78,0.0007128339645452596,0.09267840593141798,0.02139500947689202,< 0.05
83,Tigris,NOMpro,29,0,0,3,26,5,0.0007126835670950882,0.07263983167597626,0.001371474966467437,< 0.05
84,Armenia,NOMpro,30,0,1,7,22,16,0.0007075593356521068,0.07514465345790647,0.0043887198926957985,< 0.05
85,ager,NOMcom,45,28,4,5,8,155,0.0007020125622636916,0.1127169801868597,0.042515723960490547,< 0.05
86,spatium,NOMcom,37,4,6,12,15,83,0.0006991192148805852,0.09267840593141798,0.022766484443359457,< 0.05
87,iter,NOMcom,32,3,0,11,18,38,0.0006973108727661438,0.08015429702176691,0.010423209745152522,< 0.05
88,25,ADJcar,30,6,9,4,11,23,0.0006883586861215626,0.07514465345790647,0.006308784845750211,< 0.05
89,nobilis2,ADJqua,37,13,10,9,5,88,0.0006854044652159109,0.09267840593141798,0.02413795940982689,< 0.05
90,teneo,VER,34,10,8,5,11,64,0.0006760906101484414,0.08516394058562733,0.017554879570783194,< 0.05
91,incipio,VER,43,9,12,8,14,148,0.0006711167761556313,0.10770733662299928,0.040595659007436134,< 0.05
92,diuido,VER,36,9,5,11,11,86,0.0006658421472624785,0.09017358414948777,0.023589369423239918,< 0.05
93,nauigo,VER,30,0,4,3,23,33,0.0006609291867922138,0.07514465345790647,0.009051734778685084,< 0.05
94,solitudo,NOMcom,27,0,0,10,17,12,0.0006433864819259398,0.06763018811211582,0.0032915399195218493,< 0.05
95,nauigabilis,ADJqua,26,10,3,4,9,4,0.0006402818635701166,0.0651253663301856,0.0010971799731739496,< 0.05
96,Pontus,NOMpro,32,3,12,2,15,59,0.0006397089241745114,0.08015429702176691,0.016183404604315756,< 0.05
97,Romanus,ADJqua,38,20,4,9,5,117,0.0006309071349801017,0.0951832277133482,0.03209251421533803,< 0.05
98,alter,PROind,63,11,11,15,26,346,0.0006289770458205694,0.15780377226160358,0.09490606767954664,< 0.05
99,Nilus,NOMpro,30,2,0,14,14,48,0.0006197849377981907,0.07514465345790647,0.013166159678087397,< 0.05
100,fretum,NOMcom,25,13,5,2,5,4,0.0006152336457508144,0.0626205445482554,0.0010971799731739496,< 0.05
101,Arabia,NOMpro,33,0,0,12,21,79,0.0006098981433351161,0.08265911880369711,0.021669304470185505,< 0.05
102,tergum,NOMcom,26,7,7,7,5,18,0.0006018805645090283,0.0651253663301856,0.004937309879282773,< 0.05
103,Arabes,NOMpro,25,0,0,5,20,9,0.0006015188960861401,0.0626205445482554,0.0024686549396413866,< 0.05
104,porta,NOMcom,26,3,0,5,18,19,0.0005991376145760935,0.0651253663301856,0.005211604872576261,< 0.05
105,nomino,VER,30,6,6,10,8,57,0.000595098388401777,0.07514465345790647,0.01563481461772878,< 0.05
106,supra2,PRE,33,5,5,8,15,89,0.0005824686440057674,0.08265911880369711,0.02441225440312038,< 0.05
107,Aethiopes,NOMpro,26,0,0,12,14,26,0.0005799369650455494,0.0651253663301856,0.007131669825630673,< 0.05
108,situs1,NOMcom,28,6,5,5,12,46,0.0005751744020254562,0.07013500989404604,0.012617569691500422,< 0.05
109,Alpes,NOMpro,28,24,3,0,1,47,0.0005724314520925214,0.07013500989404604,0.012891864684793908,< 0.05
110,ambitus,NOMcom,28,9,7,8,4,48,0.0005696885021595864,0.07013500989404604,0.013166159678087397,< 0.05
111,alueus,NOMcom,24,4,5,4,11,12,0.0005682418284680334,0.06011572276632518,0.0032915399195218493,< 0.05
112,nauigatio,NOMcom,24,1,3,4,16,13,0.0005654988785350984,0.06011572276632518,0.0035658349128153367,< 0.05
113,prouincia,NOMcom,29,15,5,8,1,59,0.000564564270716605,0.07263983167597626,0.016183404604315756,< 0.05
114,medius,ADJqua,45,5,10,13,17,206,0.000562122115684013,0.1127169801868597,0.056504768618458406,< 0.05
115,ciuis,NOMcom,26,17,4,5,0,33,0.0005607363155150052,0.0651253663301856,0.009051734778685084,< 0.05
116,conuentus,NOMcom,22,14,3,5,0,3,0.0005428319422258428,0.05510607920246475,0.0008228849798804623,< 0.05
117,situs2,ADJqua,24,6,6,4,8,22,0.0005408123291386846,0.06011572276632518,0.006034489852456723,< 0.05
118,praeter2,PRE,37,10,2,18,7,141,0.0005400281187703626,0.09267840593141798,0.03867559405438173,< 0.05
119,100,ADJcar,24,8,2,4,10,23,0.0005380693792057497,0.06011572276632518,0.006308784845750211,< 0.05
120,Alexandria,NOMpro,24,0,0,11,13,23,0.0005380693792057497,0.06011572276632518,0.006308784845750211,< 0.05
121,Seleucia,NOMpro,22,0,0,8,14,5,0.0005373460423599731,0.05510607920246475,0.001371474966467437,< 0.05
122,continens1,NOMcom,22,3,6,5,8,6,0.0005346030924270383,0.05510607920246475,0.0016457699597609246,< 0.05
123,30,ADJcar,26,4,6,7,9,44,0.0005305638662527216,0.0651253663301856,0.012068979704913446,< 0.05
124,accolo2,VER,21,7,3,2,9,2,0.0005205266743394755,0.05260125742053452,0.0005485899865869748,< 0.05
125,occasus,NOMcom,35,2,8,9,16,130,0.0005201041323940419,0.08766876236755755,0.03565834912815336,< 0.05
126,aduersum,NOMcom,22,3,8,7,4,12,0.000518145392829429,0.05510607920246475,0.0032915399195218493,< 0.05
127,Scythae,NOMpro,22,1,7,1,13,12,0.000518145392829429,0.05510607920246475,0.0032915399195218493,< 0.05
128,uniuersus,ADJqua,26,10,4,1,11,49,0.0005168491165880473,0.0651253663301856,0.013440454671380882,< 0.05
129,5,ADJcar,33,4,11,4,14,113,0.0005166378456153305,0.08265911880369711,0.030995334242164076,< 0.05
130,Caspius,ADJqua,21,0,0,0,21,4,0.0005150407744736057,0.05260125742053452,0.0010971799731739496,< 0.05
131,interuallum,NOMcom,29,5,8,6,10,78,0.0005124482219908424,0.07263983167597626,0.02139500947689202,< 0.05
132,ultra1,ADV,22,3,6,4,9,16,0.0005071735930976895,0.05510607920246475,0.0043887198926957985,< 0.05
133,Syria,NOMpro,30,0,1,20,9,91,0.0005018380906819911,0.07514465345790647,0.024960844389707356,< 0.05
134,India,NOMpro,30,0,1,0,29,91,0.0005018380906819911,0.07514465345790647,0.024960844389707356,< 0.05
135,Hister,NOMpro,20,7,13,0,0,2,0.0004954784565201734,0.05009643563860431,0.0005485899865869748,< 0.05
136,cursus,NOMcom,25,1,6,3,15,50,0.0004890579488358103,0.0626205445482554,0.01371474966467437,< 0.05
137,incola,NOMcom,22,8,5,1,8,23,0.0004879729435671454,0.05510607920246475,0.006308784845750211,< 0.05
138,angustia,NOMcom,21,3,10,2,6,14,0.000487611275144257,0.05260125742053452,0.0038401299061088237,< 0.05
139,influo,VER,20,5,1,3,11,5,0.0004872496067213687,0.05009643563860431,0.001371474966467437,< 0.05
140,Ruber,ADJqua,22,0,0,3,19,25,0.00048248704370127565,0.05510607920246475,0.006857374832337185,< 0.05
141,Pyrenaeus,ADJqua,20,10,9,0,1,7,0.00048176370685549895,0.05009643563860431,0.0019200649530544118,< 0.05
142,alluo,VER,20,4,7,7,2,7,0.00048176370685549895,0.05009643563860431,0.0019200649530544118,< 0.05
143,elephantus,NOMcom,25,0,0,4,21,53,0.0004808290990370056,0.0626205445482554,0.014537634644554834,< 0.05
144,haud,ADVneg,27,6,7,5,9,76,0.00046783768621810786,0.06763018811211582,0.020846419490305045,< 0.05
145,Caucasus,NOMpro,19,0,1,1,17,3,0.00046768728876793637,0.0475916138566741,0.0008228849798804623,< 0.05
146,uastus,ADJqua,21,0,8,6,7,22,0.000465667675680778,0.05260125742053452,0.006034489852456723,< 0.05
147,totus,PROind,66,12,15,13,26,435,0.00045999915524727207,0.16531823760739423,0.11931832208266703,< 0.05
148,regnum,NOMcom,21,0,1,6,14,25,0.0004574388258819734,0.05260125742053452,0.006857374832337185,< 0.05
149,longe,ADV,24,4,4,5,11,57,0.000444809081485964,0.06011572276632518,0.01563481461772878,< 0.05
150,regio,ADJqua,19,6,4,4,5,14,0.0004375148395056527,0.0475916138566741,0.0038401299061088237,< 0.05
151,castellum,NOMcom,18,5,4,3,6,5,0.00043715317108276446,0.045086792074743885,0.001371474966467437,< 0.05
152,mensura,NOMcom,32,7,6,4,15,133,0.0004367306291373308,0.08015429702176691,0.036481234108033826,< 0.05
153,habito,VER,20,2,3,9,6,24,0.0004351335579956061,0.05009643563860431,0.006583079839043699,< 0.05
154,celeber,ADJqua,23,7,1,7,8,52,0.0004334756133313362,0.05761090098439497,0.014263339651261347,< 0.05
155,Mauretania,NOMpro,18,1,0,11,6,11,0.00042069547148515524,0.045086792074743885,0.0030172449262283615,< 0.05
156,Parthi,NOMpro,19,0,0,3,16,21,0.00041831418997510865,0.0475916138566741,0.005760194859163235,< 0.05
157,ipse,PROdem,148,29,33,35,51,1200,0.0004155963177348704,0.3707136237256719,0.32915399195218487,> 0.05
158,Mesopotamia,NOMpro,17,0,0,5,12,4,0.00041484790319639716,0.042581970292813666,0.0010971799731739496,< 0.05
159,supra1,ADV,26,6,7,6,7,87,0.00041261701913652206,0.0651253663301856,0.023863664416533405,< 0.05
160,75,ADJcar,17,4,4,2,7,6,0.00040936200333052745,0.042581970292813666,0.0016457699597609246,< 0.05
161,Meroe,NOMpro,17,0,0,1,16,6,0.00040936200333052745,0.042581970292813666,0.0016457699597609246,< 0.05
162,procul,ADV,21,8,2,9,2,43,0.00040806572708914566,0.05260125742053452,0.011794684711619959,< 0.05
163,interior2,ADJqua,20,3,2,6,9,34,0.00040770405866625734,0.05009643563860431,0.009326029771978573,< 0.05
164,200,ADJcar,17,3,5,3,6,8,0.0004038761034646577,0.042581970292813666,0.0021943599463478992,< 0.05
165,liberi,ADJqua,16,1,9,4,2,0,0.0004007714851088345,0.040077148510883454,0.0,< 0.05
166,Nomades,NOMpro,16,0,4,2,10,2,0.00039528558524296476,0.040077148510883454,0.0005485899865869748,< 0.05
167,Chersonesus,NOMpro,16,0,14,1,1,4,0.000389799685377095,0.040077148510883454,0.0010971799731739496,< 0.05
168,mille,ADJcar,29,8,9,5,7,123,0.0003890154750087731,0.07263983167597626,0.03373828417509895,< 0.05
169,auctor,NOMcom,43,17,6,6,14,251,0.00038859293306333937,0.10770733662299928,0.06884804331666533,< 0.05
170,pondo,NOMcom,21,6,1,6,8,53,0.00038063622775979687,0.05260125742053452,0.014537634644554834,< 0.05
171,60,ADJcar,18,2,6,2,8,26,0.00037955122249113207,0.045086792074743885,0.007131669825630673,< 0.05
172,peto,VER,25,6,2,4,13,91,0.0003765970015854804,0.0626205445482554,0.024960844389707356,< 0.05
173,Carthago,NOMpro,18,5,0,9,4,28,0.00037406532262526237,0.045086792074743885,0.007680259812217647,< 0.05
174,finio,VER,17,5,5,5,2,19,0.00037370365420237405,0.042581970292813666,0.005211604872576261,< 0.05
175,Hellespontus,NOMpro,16,0,9,4,3,10,0.0003733419857794858,0.040077148510883454,0.002742949932934874,< 0.05
176,125,ADJcar,15,1,8,4,2,1,0.0003729803173565975,0.037572326728953234,0.0002742949932934874,< 0.05
177,decimus,UNK,19,4,6,2,7,38,0.0003716840411152158,0.0475916138566741,0.010423209745152522,< 0.05
178,Persae,NOMpro,18,1,3,1,13,29,0.00037132237269232746,0.045086792074743885,0.007954554805511136,< 0.05
179,Apollonia,NOMpro,15,1,6,5,3,2,0.0003702373674236626,0.037572326728953234,0.0005485899865869748,< 0.05
180,Italia,NOMpro,43,38,3,0,2,258,0.0003693922835327952,0.10770733662299928,0.07076810826971976,< 0.05
181,paeninsula,NOMcom,15,5,7,1,2,4,0.00036475146755779285,0.037572326728953234,0.0010971799731739496,< 0.05
182,Antiochia,NOMpro,15,0,0,9,6,4,0.00036475146755779285,0.037572326728953234,0.0010971799731739496,< 0.05
183,autem,CONcoo,112,27,26,29,30,890,0.00036417495544980357,0.2805400395761842,0.24412254403120381,> 0.05
184,Heraclea,NOMpro,16,1,8,3,4,14,0.00036237018604774626,0.040077148510883454,0.0038401299061088237,< 0.05
185,qua1,ADVrel,23,7,5,6,5,78,0.00036215891507502943,0.05761090098439497,0.02139500947689202,< 0.05
186,Taurus,NOMpro,15,0,1,9,5,5,0.000362008517624858,0.037572326728953234,0.001371474966467437,< 0.05
187,uocito,VER,15,5,5,5,0,6,0.00035926556769192314,0.037572326728953234,0.0016457699597609246,< 0.05
188,ante2,PRE,50,11,22,9,8,326,0.000358209212828339,0.1252410890965108,0.0894201678136769,< 0.05
189,Syrtis,NOMpro,15,0,0,14,1,7,0.00035652261775898824,0.037572326728953234,0.0019200649530544118,< 0.05
190,40,ADJcar,20,3,5,5,7,53,0.0003555880099404947,0.05009643563860431,0.014537634644554834,< 0.05
191,Hispania,NOMpro,26,14,8,1,3,108,0.00035501507054488973,0.0651253663301856,0.029623859275696638,< 0.05
192,Eratosthenes,NOMpro,15,1,0,6,8,8,0.0003537796678260534,0.037572326728953234,0.0021943599463478992,< 0.05
193,Iuba,NOMpro,18,0,0,4,14,36,0.00035212172316178333,0.045086792074743885,0.009874619758565547,< 0.05
194,150,ADJcar,15,3,4,4,4,9,0.0003510367178931185,0.037572326728953234,0.0024686549396413866,< 0.05
195,praefluo,VER,14,3,2,4,5,0,0.0003506750494702302,0.03506750494702302,0.0,< 0.05
196,campus1,NOMcom,18,5,5,6,2,39,0.0003438928733629787,0.045086792074743885,0.01069750473844601,< 0.05
197,recedo1,VER,17,7,4,4,2,30,0.00034353120494009045,0.042581970292813666,0.008228849798804623,< 0.05
198,250,ADJcar,14,2,1,4,7,3,0.0003424461996714256,0.03506750494702302,0.0008228849798804623,< 0.05
199,excurro,VER,14,3,5,3,3,3,0.0003424461996714256,0.03506750494702302,0.0008228849798804623,< 0.05
200,accola,NOMcom,14,1,3,2,8,3,0.0003424461996714256,0.03506750494702302,0.0008228849798804623,< 0.05
201,fluo,VER,18,1,3,7,7,41,0.00033840697349710896,0.045086792074743885,0.011246094725032985,< 0.05
202,Cyrus,NOMpro,14,0,0,1,13,5,0.00033696029980555584,0.03506750494702302,0.001371474966467437,< 0.05
203,fertilis,ADJqua,19,3,0,5,11,53,0.00033053979212119267,0.0475916138566741,0.014537634644554834,< 0.05
204,Bosporus,NOMpro,14,0,6,2,6,8,0.00032873145000675123,0.03506750494702302,0.0021943599463478992,< 0.05
205,hinc,ADV,20,6,5,5,4,63,0.000328158510611146,0.05009643563860431,0.017280584577489707,< 0.05
206,Isidorus,NOMpro,14,0,3,11,0,9,0.0003259885000738163,0.03506750494702302,0.0024686549396413866,< 0.05
207,defero,VER,15,3,4,2,6,19,0.00032360721856376974,0.037572326728953234,0.005211604872576261,< 0.05
208,praetendo,VER,14,2,3,3,6,10,0.00032324555014088147,0.03506750494702302,0.002742949932934874,< 0.05
209,ignobilis,ADJqua,14,4,2,6,2,11,0.0003205026002079466,0.03506750494702302,0.0030172449262283615,< 0.05
210,distermino,VER,13,1,2,6,4,2,0.0003201409317850583,0.0325626831650928,0.0005485899865869748,< 0.05
211,occidens,NOMcom,13,1,1,4,7,2,0.0003201409317850583,0.0325626831650928,0.0005485899865869748,< 0.05
212,introrsum,ADV,13,0,6,3,4,2,0.0003201409317850583,0.0325626831650928,0.0005485899865869748,< 0.05
213,Tanais,NOMpro,13,2,4,1,6,3,0.00031739798185212345,0.0325626831650928,0.0008228849798804623,< 0.05
214,Isthmus,NOMpro,13,0,12,0,1,3,0.00031739798185212345,0.0325626831650928,0.0008228849798804623,< 0.05
215,20,ADJcar,18,3,3,6,6,49,0.00031646337403363003,0.045086792074743885,0.013440454671380882,< 0.05
216,noster,PROpos,32,2,6,2,22,177,0.0003160408320881963,0.08015429702176691,0.048550213812947274,< 0.05
217,Phrygia,NOMpro,14,0,0,11,3,13,0.00031501670034207686,0.03506750494702302,0.0035658349128153367,< 0.05
218,confinium,NOMcom,13,1,2,3,7,5,0.0003119120819862537,0.0325626831650928,0.001371474966467437,< 0.05
219,Atlas,NOMpro,13,0,0,9,4,5,0.0003119120819862537,0.0325626831650928,0.001371474966467437,< 0.05
220,Claudius,NOMpro,19,5,0,8,6,60,0.00031133914259064854,0.0475916138566741,0.016457699597609246,< 0.05
221,infra2,PRE,16,2,2,3,9,33,0.0003102541373219837,0.040077148510883454,0.009051734778685084,< 0.05
222,Cilicia,NOMpro,15,0,0,10,5,24,0.00030989246889909537,0.037572326728953234,0.006583079839043699,< 0.05
223,Latium,NOMpro,13,11,1,1,0,6,0.00030916913205331884,0.0325626831650928,0.0016457699597609246,< 0.05
224,faux,NOMcom,20,3,5,3,9,70,0.0003089578610806019,0.05009643563860431,0.01920064953054412,< 0.05
225,Hercules,NOMpro,22,8,3,7,4,90,0.00030419529806050883,0.05510607920246475,0.024686549396413866,< 0.05
226,commercium,NOMcom,13,3,0,3,7,8,0.0003036832321874491,0.0325626831650928,0.0021943599463478992,< 0.05
227,super2,PRE,23,3,6,10,4,100,0.00030181401655046225,0.05761090098439497,0.02742949932934874,< 0.05
228,Caesarea,NOMpro,12,1,0,8,3,0,0.0003005786138316259,0.03005786138316259,0.0,< 0.05
229,7,ADJcar,22,5,6,3,8,92,0.0002987093981946391,0.05510607920246475,0.025235139383000843,< 0.05
230,antiquus,ADJqua,19,8,4,5,2,65,0.00029762439292597417,0.0475916138566741,0.01782917456407668,< 0.05
231,uergo,VER,14,5,4,3,2,20,0.00029581605081153273,0.03506750494702302,0.005485899865869748,< 0.05
232,exter,ADJqua,18,1,7,4,6,57,0.000294519774570151,0.045086792074743885,0.01563481461772878,< 0.05
233,Medi,NOMpro,13,0,1,0,12,13,0.0002899684825227747,0.0325626831650928,0.0035658349128153367,< 0.05
234,Peloponnesus,NOMpro,12,1,10,0,1,4,0.0002896068140998864,0.03005786138316259,0.0010971799731739496,< 0.05
235,efficio,VER,17,5,4,2,6,50,0.00028867220628139297,0.042581970292813666,0.01371474966467437,< 0.05
236,intereo1,VER,15,9,0,4,2,32,0.0002879488694356164,0.037572326728953234,0.008777439785391597,< 0.05
237,80,ADJcar,13,5,6,0,2,14,0.0002872255325898398,0.0325626831650928,0.0038401299061088237,< 0.05
238,mediterraneus,ADJqua,12,3,4,2,3,5,0.00028686386416695153,0.03005786138316259,0.001371474966467437,< 0.05
239,desertus,VER,12,0,0,2,10,5,0.00028686386416695153,0.03005786138316259,0.001371474966467437,< 0.05
240,ortus,NOMcom,17,0,4,6,7,51,0.00028592925634845807,0.042581970292813666,0.013989044657967858,< 0.05
